"alderman","counts"
"Mell","0,15,66,4,43,11,2,3,2,21,0,1,1,0,11,0,0,0,0,3,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
"O'Connor","0,70,61,37,34,18,8,9,6,10,2,2,1,1,4,2,0,0,0,1,2,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
"Burke","0,30,84,3,53,3,0,13,0,56,1,1,1,0,205,2,0,0,0,7,0,0,0,0,17,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6"
"Moore","0,13,73,1,63,1,3,4,0,39,1,0,1,1,13,0,0,2,1,7,1,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4"
"Suarez","0,9,4,16,34,4,14,7,0,27,4,3,8,1,8,1,0,2,1,14,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1"
"Munoz","0,17,54,4,47,2,2,11,1,26,0,0,2,0,6,0,0,0,0,5,0,0,0,0,7,0,0,0,1,2,0,1,1,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,1"
"Maldonado","0,9,59,3,45,4,2,10,0,25,0,0,1,0,20,0,0,0,0,1,0,0,1,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Laurino","0,41,33,10,47,4,6,6,2,15,0,3,1,0,12,0,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5"
"Burnett","0,8,49,1,35,4,1,2,0,22,0,0,1,0,22,1,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Austin","0,11,47,3,48,1,4,2,0,26,0,0,1,0,12,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5"
"Solis","0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"Zalewski","0,2,30,4,48,1,0,7,0,22,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"Hairston","0,33,58,7,69,2,3,5,0,31,0,0,0,0,15,1,0,1,0,3,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3"
"Pope","0,40,29,0,41,3,7,7,2,29,1,1,4,2,25,1,0,0,0,3,0,1,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5"
"Beale","0,5,20,1,26,1,1,1,0,25,0,0,0,0,20,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
"Chandler","0,8,4,0,9,0,1,0,0,7,0,0,0,0,1,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"Osterman","0,37,43,3,54,3,2,7,1,29,2,1,0,0,3,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8"
"Mitts","0,9,18,1,14,0,0,1,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5"
"Thomas","0,13,18,4,22,0,2,1,0,9,0,0,0,0,5,0,0,0,0,2,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3"
"Thompson","0,8,31,5,43,1,0,4,1,18,0,0,6,0,5,0,0,0,0,3,0,0,4,0,4,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4"
"Graham","0,15,33,4,30,1,3,2,0,20,0,0,2,0,3,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
"Dowell","0,12,53,1,68,2,0,3,0,19,0,0,1,1,10,0,0,0,0,2,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2"
"Brookins","0,8,14,2,24,0,0,1,1,18,0,0,0,0,8,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
"Colon","0,14,35,4,36,0,1,5,1,21,0,0,1,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1"
"Tunney","0,12,43,0,38,6,0,15,3,22,0,0,2,1,31,0,0,2,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3"
"Reboyras","0,2,17,1,15,1,0,2,1,11,0,1,0,1,8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Cardenas","0,10,17,6,40,2,1,11,0,13,0,2,3,0,12,0,0,0,0,3,0,0,1,0,6,0,0,1,0,5,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,3"
"Balcer","0,0,4,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Reilly","0,29,97,3,110,1,0,13,0,45,3,0,3,0,112,1,1,2,0,13,0,0,1,0,14,0,1,1,0,14,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,1,0,21"
"Smith","0,73,107,18,79,2,10,14,2,33,1,0,4,0,14,1,0,1,0,6,1,0,0,1,4,0,0,1,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20"
"Cappleman","0,41,36,9,22,8,2,8,1,10,3,0,2,0,3,1,1,1,0,5,1,0,1,0,3,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
"Sposato","0,13,5,3,7,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"Cochran","0,3,6,0,30,0,0,1,0,19,0,0,0,0,15,1,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"Waguespack","0,16,51,3,33,5,1,5,1,11,0,0,4,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
"Lane","0,7,7,1,12,0,2,0,0,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
"Jackson","0,1,2,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
"Foulkes","0,12,21,3,23,0,0,1,0,12,1,0,2,0,7,0,0,2,0,4,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0"
"Mary O'Connor","0,37,41,9,22,2,5,1,0,9,1,0,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"Burns","0,30,97,5,87,2,2,10,1,46,0,2,0,1,30,0,0,1,0,8,0,0,0,0,6,1,0,1,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5"
"Moreno","0,8,37,0,24,0,0,2,0,23,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"Fioretti","0,31,71,4,85,0,1,12,1,42,1,3,1,0,24,0,1,1,0,3,0,0,1,1,7,0,1,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3"
"Pawar","0,43,64,5,20,4,1,1,0,11,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3"
"Arena","0,56,69,24,41,6,8,9,2,21,0,0,1,1,6,0,0,1,0,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2"
"Sawyer","0,19,60,7,39,4,5,4,0,14,1,0,0,0,5,1,1,0,0,4,0,1,1,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"O'Shea","0,52,108,16,50,28,2,8,10,23,1,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
"Silverstein","0,27,19,2,36,1,0,0,1,29,0,0,0,0,7,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14"
"Cullerton","0,42,43,13,59,8,2,9,0,42,1,3,1,0,21,0,1,1,0,9,0,0,0,0,11,1,0,1,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9"
"Ervin","0,12,15,1,21,1,0,1,0,17,0,0,2,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2"
"Quinn","0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
